LIMIT_BAL,Sex,Education,AGE,difference,default,,,
50000,1,3,46,168934,1,,,
2.00E+05,1,3,46,4319,1,,,
30000,1,3,22,126,1,,,
50000,1,3,49,48843,1,,,
270000,1,3,27,76587,1,,,
10000,0,3,24,26236,1,,,
30000,1,2,26,49119,1,,,
160000,0,3,28,3260,1,,,
60000,0,3,39,243228,1,,,
1.00E+05,1,4,32,473502,1,,,
70000,1,3,33,327681,1,,,
10000,1,4,21,33560,1,,,
5.00E+05,1,4,39,0,1,,,
2.00E+05,1,2,69,7500,1,,,
20000,1,2,28,62785,1,,,
30000,0,2,31,118424,1,,,
50000,1,4,45,4634,1,,,
30000,1,3,24,143991,1,,,
190000,0,4,31,495210,1,,,
110000,1,4,25,213865,1,,,
30000,1,2,44,133009,1,,,
2.00E+05,1,3,31,25000,1,,,
50000,1,2,53,19630,1,,,
50000,0,3,27,169572,1,,,
150000,1,3,37,369029,1,,,
50000,0,3,34,80711,1,,,
50000,0,3,43,78478,1,,,
5.00E+05,0,4,34,101078,1,,,
20000,0,4,38,90712,1,,,
480000,0,4,33,-4485,1,,,
20000,1,3,31,111820,1,,,
230000,0,3,46,0,1,,,
40000,1,3,23,129567,1,,,
280000,1,4,37,2307,1,,,
20000,1,3,34,42911,1,,,
2.00E+05,0,4,34,-38007,1,,,
30000,1,3,23,158903,1,,,
50000,0,3,32,390,1,,,
130000,0,4,28,102650,1,,,
30000,1,3,35,120816,1,,,
30000,1,3,23,127577,1,,,
2.00E+05,0,3,36,0,1,,,
2.00E+05,1,3,26,16010,1,,,
330000,1,3,40,644902,1,,,
130000,0,4,29,19954,1,,,
1.00E+05,1,2,46,478119,1,,,
130000,0,3,37,144351,1,,,
210000,1,2,31,0,1,,,
120000,1,3,30,498590,1,,,
6.00E+05,0,4,53,2180392,1,,,
20000,1,4,30,8550,1,,,
20000,1,3,32,55131,1,,,
2.00E+05,1,4,38,161,1,,,
160000,1,3,24,632,1,,,
1.00E+05,1,3,39,382542,1,,,
60000,1,3,47,138922,1,,,
2.00E+05,1,3,34,358770,1,,,
20000,0,3,31,390,1,,,
60000,0,2,34,283686,1,,,
50000,0,3,25,3616,1,,,
50000,1,3,35,147295,1,,,
50000,0,4,30,237729,1,,,
20000,0,1,27,100253,1,,,
230000,1,3,26,0,1,,,
110000,1,3,29,511961,1,,,
10000,1,3,36,38821,1,,,
3.00E+05,1,4,34,239678,1,,,
210000,1,3,27,0,1,,,
240000,0,4,38,5701,1,,,
20000,0,3,33,94123,1,,,
50000,1,2,25,161605,1,,,
1.00E+05,1,4,34,179217,1,,,
40000,1,2,39,183023,1,,,
120000,1,2,32,4514,1,,,
210000,1,3,28,143330,1,,,
180000,1,4,42,0,1,,,
1.00E+05,0,3,47,468544,1,,,
80000,1,3,37,49407,1,,,
110000,0,3,23,231405,1,,,
10000,0,2,44,42382,1,,,
20000,1,3,23,88934,1,,,
60000,0,3,29,241341,1,,,
3.00E+05,1,2,39,198342,1,,,
20000,1,3,22,39719,1,,,
260000,0,4,32,594,1,,,
50000,0,4,47,0,1,,,
140000,0,4,30,277,1,,,
180000,1,3,62,0,1,,,
2.00E+05,1,2,57,0,1,,,
90000,0,3,33,314282,1,,,
110000,1,4,37,72757,1,,,
120000,1,2,61,300581,1,,,
60000,1,3,49,175899,1,,,
130000,0,2,27,-5,1,,,
20000,0,2,46,56968,1,,,
2.00E+05,1,4,34,0,1,,,
130000,1,3,49,-2730,1,,,
210000,1,3,43,0,1,,,
1.00E+05,1,3,26,326840,1,,,
20000,0,3,37,912,1,,,
60000,1,3,25,176278,1,,,
140000,1,4,35,2552,1,,,
230000,1,3,40,0,1,,,
2.00E+05,1,3,30,129273,1,,,
180000,1,4,41,-40,1,,,
90000,0,4,26,203038,1,,,
20000,0,4,32,71286,1,,,
30000,1,3,42,126053,1,,,
50000,1,3,33,219286,1,,,
110000,1,4,32,204955,1,,,
30000,1,4,35,123694,1,,,
20000,1,3,48,83041,1,,,
280000,0,4,29,31272,1,,,
280000,0,3,39,787681,1,,,
70000,0,3,37,16819,1,,,
20000,1,3,26,33146,1,,,
1.00E+05,1,4,38,195109,1,,,
1.00E+05,1,4,30,452789,1,,,
80000,0,2,33,167345,1,,,
70000,1,4,45,780,1,,,
240000,0,4,48,904752,1,,,
420000,1,2,25,286207,1,,,
90000,1,3,32,-1476,1,,,
350000,1,4,44,10741,1,,,
20000,0,3,27,85686,1,,,
110000,0,4,33,220262,1,,,
210000,1,4,30,0,1,,,
2.00E+05,0,4,29,732370,1,,,
50000,1,4,25,237310,1,,,
30000,0,2,45,83325,1,,,
80000,1,3,53,51937,1,,,
1.00E+05,1,4,24,1978,1,,,
30000,1,2,28,74928,1,,,
1.00E+05,1,4,27,201357,1,,,
60000,1,2,52,294370,1,,,
360000,1,4,59,0,1,,,
140000,1,3,42,337366,1,,,
20000,1,3,27,4079,1,,,
750000,1,4,28,532644,1,,,
20000,0,3,43,85008,1,,,
250000,0,4,42,-411,1,,,
50000,1,3,24,241168,1,,,
60000,1,3,39,-11010,1,,,
280000,0,2,42,18307,1,,,
30000,1,3,33,12000,1,,,
70000,1,4,26,147708,1,,,
2.00E+05,0,4,33,-1247,1,,,
30000,1,3,22,131918,1,,,
80000,1,4,44,245663,1,,,
150000,1,3,25,569898,1,,,
170000,1,3,45,564810,1,,,
20000,0,4,48,71179,1,,,
260000,0,4,53,150,1,,,
120000,0,4,34,551078,1,,,
280000,1,3,40,415,1,,,
1.00E+05,0,2,32,133765,1,,,
360000,1,3,39,325,1,,,
80000,1,2,36,1616,1,,,
30000,1,2,36,7018,1,,,
50000,0,3,46,147792,1,,,
2.00E+05,1,2,47,0,1,,,
3.00E+05,1,4,47,25000,1,,,
50000,1,3,37,95911,1,,,
50000,0,3,40,59448,1,,,
360000,1,3,39,0,1,,,
2.00E+05,0,4,30,215915,1,,,
2.00E+05,1,4,31,0,1,,,
20000,1,1,28,93287,1,,,
50000,1,3,23,207200,1,,,
50000,0,2,48,0,1,,,
30000,1,3,27,780,1,,,
80000,0,2,31,263740,1,,,
280000,0,3,49,145859,1,,,
30000,0,2,55,11975,1,,,
50000,1,2,49,96487,1,,,
20000,0,3,56,74082,1,,,
70000,0,3,27,150410,1,,,
30000,1,2,38,21696,1,,,
80000,0,4,33,383326,1,,,
30000,1,4,22,43672,1,,,
50000,1,3,55,135396,1,,,
10000,0,2,24,57,1,,,
260000,1,4,36,4143,1,,,
20000,0,3,23,0,1,,,
30000,0,3,33,143122,1,,,
60000,0,3,35,55308,1,,,
130000,0,3,33,103370,1,,,
90000,1,4,29,0,1,,,
5.00E+05,0,4,53,-335,1,,,
160000,1,4,35,0,1,,,
20000,1,3,24,90039,1,,,
140000,0,3,26,620278,1,,,
150000,0,3,50,186254,1,,,
270000,1,3,42,5048,1,,,
30000,0,3,39,107176,1,,,
80000,0,3,30,365971,1,,,
20000,0,3,33,51464,1,,,
2.00E+05,0,3,42,110314,1,,,
50000,0,3,39,145435,1,,,
70000,1,3,34,279047,1,,,
210000,0,3,41,454313,1,,,
160000,1,4,30,253,1,,,
50000,1,3,31,97327,1,,,
260000,0,2,63,1233189,1,,,
20000,0,3,25,79678,1,,,
140000,1,3,32,1706,1,,,
210000,0,1,31,499567,1,,,
30000,0,3,25,41851,1,,,
5.00E+05,1,4,30,-174,1,,,
210000,1,3,30,32855,1,,,
310000,1,3,31,343971,1,,,
80000,1,2,48,396,1,,,
70000,1,2,32,84542,1,,,
70000,0,2,42,185370,1,,,
290000,0,4,36,850201,1,,,
20000,0,2,24,67743,1,,,
20000,1,2,27,13642,1,,,
80000,1,2,53,0,1,,,
280000,1,2,53,30156,1,,,
240000,1,3,39,232285,1,,,
150000,0,4,33,432007,1,,,
360000,1,4,28,0,1,,,
140000,1,4,37,652376,1,,,
50000,1,2,33,180143,1,,,
360000,1,4,36,58076,1,,,
10000,0,4,22,16435,1,,,
1.00E+05,1,3,38,71667,1,,,
80000,1,2,26,49483,1,,,
1.00E+05,1,4,51,300,1,,,
160000,1,3,42,0,1,,,
50000,1,3,39,102572,1,,,
170000,1,4,31,0,1,,,
1.00E+05,1,2,39,-5,1,,,
180000,1,2,39,68600,1,,,
180000,0,4,27,65188,1,,,
230000,0,3,28,73001,1,,,
40000,0,4,25,7422,1,,,
130000,1,3,30,667284,1,,,
1.00E+05,0,3,36,53587,1,,,
190000,1,3,27,31559,1,,,
130000,0,3,31,527547,1,,,
30000,1,2,25,135046,1,,,
1.00E+05,1,4,30,476403,1,,,
120000,0,3,25,24083,1,,,
250000,1,3,31,0,1,,,
60000,0,2,36,208494,1,,,
70000,1,2,47,104192,1,,,
60000,1,3,24,236193,1,,,
30000,1,4,23,136415,1,,,
50000,1,3,28,4069,1,,,
30000,1,2,44,138182,1,,,
30000,1,3,39,50227,1,,,
80000,1,2,40,6079,1,,,
3.00E+05,0,2,45,1170,1,,,
2.00E+05,1,2,52,740959,1,,,
80000,1,4,23,293007,1,,,
390000,1,3,45,0,1,,,
40000,1,3,23,47855,1,,,
190000,1,3,26,254744,1,,,
140000,1,3,24,518217,1,,,
320000,1,3,47,43514,1,,,
80000,1,3,39,2876,1,,,
2.00E+05,0,3,32,233033,1,,,
3.00E+05,1,2,37,284,1,,,
230000,1,4,30,0,1,,,
2.00E+05,0,4,42,853203,1,,,
80000,1,4,28,6218,1,,,
160000,0,1,45,1817,1,,,
50000,1,3,39,120023,1,,,
20000,0,3,22,45424,1,,,
320000,0,4,33,0,1,,,
290000,1,3,35,1193167,1,,,
50000,1,3,27,224512,1,,,
70000,0,4,26,249531,1,,,
150000,0,4,34,-26,1,,,
80000,1,3,36,-14,1,,,
80000,0,4,33,334637,1,,,
50000,0,4,30,271089,1,,,
70000,1,4,32,181491,1,,,
160000,1,3,28,552325,1,,,
50000,1,3,39,3175,1,,,
2.00E+05,0,4,44,-2185,1,,,
90000,1,4,29,216246,1,,,
50000,0,4,34,239060,1,,,
130000,1,2,36,128672,1,,,
50000,1,3,30,161143,1,,,
5.00E+05,1,4,38,0,1,,,
140000,1,3,24,0,1,,,
80000,1,3,34,186507,1,,,
140000,0,3,44,640,1,,,
320000,1,4,36,58503,1,,,
380000,0,4,30,0,1,,,
30000,1,3,22,49131,1,,,
360000,1,3,35,5309,1,,,
80000,0,2,38,-1312,1,,,
90000,0,4,31,169147,1,,,
220000,1,3,29,178848,1,,,
130000,0,4,25,0,1,,,
60000,1,3,24,1896,1,,,
1.00E+05,1,4,29,311535,1,,,
220000,0,2,33,5663,1,,,
180000,0,4,38,574344,1,,,
50000,1,3,22,116854,1,,,
50000,1,3,25,149258,1,,,
30000,1,3,23,104141,1,,,
20000,1,2,46,45195,1,,,
30000,1,3,38,7968,1,,,
1.00E+05,1,4,26,21398,1,,,
50000,1,3,34,45896,1,,,
50000,1,3,45,116662,1,,,
150000,1,4,29,89074,1,,,
80000,1,3,24,-1560,1,,,
3.00E+05,0,4,29,0,1,,,
50000,1,2,63,235232,1,,,
2.00E+05,1,3,36,375286,1,,,
130000,0,4,39,0,1,,,
50000,0,2,30,130369,1,,,
80000,1,3,23,127263,1,,,
50000,1,2,50,4166,1,,,
220000,1,4,36,817223,1,,,
150000,0,2,52,524197,1,,,
70000,0,4,30,173649,1,,,
30000,1,3,34,133387,1,,,
80000,1,3,27,325898,1,,,
190000,0,4,44,3421,1,,,
2.00E+05,1,2,26,146539,1,,,
30000,1,3,24,134706,1,,,
590000,1,4,31,-4767,1,,,
360000,1,3,26,4468,1,,,
360000,0,4,34,1047,1,,,
60000,1,3,35,181586,1,,,
30000,1,3,23,64365,1,,,
20000,0,3,24,85848,1,,,
40000,1,2,44,172856,1,,,
150000,1,4,28,174125,1,,,
20000,0,2,48,11632,1,,,
130000,1,3,29,0,1,,,
50000,1,2,32,1304,1,,,
30000,1,3,34,102672,1,,,
30000,1,2,53,113436,1,,,
130000,0,4,28,0,1,,,
80000,0,3,32,126709,1,,,
2.00E+05,1,2,53,159043,1,,,
330000,1,3,28,1131178,1,,,
360000,0,4,49,-48,1,,,
80000,0,4,28,199703,1,,,
4.00E+05,1,2,46,81166,1,,,
2.00E+05,1,4,26,378945,1,,,
3.00E+05,1,4,31,135694,1,,,
130000,0,3,33,2170,1,,,
1.00E+05,1,3,38,3750,1,,,
160000,1,2,44,5718,1,,,
270000,1,3,33,97133,1,,,
50000,1,4,26,133458,1,,,
30000,1,4,30,86811,1,,,
450000,0,4,48,69,1,,,
190000,1,3,26,588294,1,,,
10000,0,3,58,47104,1,,,
20000,1,3,42,92818,1,,,
120000,0,3,37,85627,1,,,
240000,1,3,38,0,1,,,
90000,1,2,27,231538,1,,,
70000,0,4,29,211415,1,,,
260000,1,4,32,0,1,,,
50000,1,3,50,76909,1,,,
180000,0,3,30,6366,1,,,
440000,0,4,62,739,1,,,
1.00E+05,0,4,31,448008,1,,,
160000,1,3,35,0,1,,,
70000,1,4,36,163617,1,,,
120000,1,4,34,549208,1,,,
20000,0,3,25,90805,1,,,
160000,1,4,27,416064,1,,,
20000,1,2,29,738,1,,,
30000,1,3,24,128583,1,,,
20000,1,2,56,1835,1,,,
80000,0,3,36,243101,1,,,
30000,1,3,23,167694,1,,,
50000,0,4,28,94553,1,,,
30000,0,4,24,117777,1,,,
20000,0,2,57,95345,1,,,
140000,0,3,38,650174,1,,,
20000,1,3,29,60035,1,,,
20000,1,2,24,113017,1,,,
120000,1,4,38,-5812,1,,,
460000,1,4,34,-774,1,,,
70000,0,4,29,173541,1,,,
160000,1,2,27,-2275,1,,,
180000,0,4,38,-94,1,,,
60000,1,3,34,575,1,,,
1.00E+05,1,4,24,331968,1,,,
160000,1,4,39,15832,1,,,
50000,1,2,23,79411,1,,,
20000,1,2,31,76946,1,,,
50000,1,4,23,-697,1,,,
60000,0,4,27,119718,1,,,
80000,1,3,40,298452,1,,,
260000,1,4,38,0,1,,,
80000,1,3,34,1232,1,,,
50000,1,4,27,10248,1,,,
60000,1,2,30,84721,1,,,
30000,1,2,29,142810,1,,,
20000,1,2,43,77918,1,,,
1.00E+05,1,3,33,358655,1,,,
20000,1,2,44,50872,1,,,
50000,1,3,37,101244,1,,,
110000,0,3,38,278441,1,,,
50000,1,4,26,30232,1,,,
20000,1,2,49,28342,1,,,
190000,1,3,29,612,1,,,
80000,1,2,37,132960,1,,,
140000,1,3,58,348097,1,,,
20000,0,3,48,80681,1,,,
60000,1,3,23,183802,1,,,
220000,1,3,46,403983,1,,,
340000,1,3,31,2081878,1,,,
50000,1,3,39,19243,1,,,
20000,0,3,33,63477,1,,,
10000,1,3,51,42202,1,,,
430000,0,3,32,0,1,,,
10000,0,4,24,39084,1,,,
90000,1,3,49,0,1,,,
120000,1,3,37,42067,1,,,
150000,1,4,31,0,1,,,
30000,1,3,31,121198,1,,,
140000,1,4,32,0,1,,,
130000,1,4,32,388935,1,,,
70000,1,2,49,109903,1,,,
2.00E+05,1,3,30,142505,1,,,
160000,1,3,41,66549,1,,,
2.00E+05,1,3,28,0,1,,,
50000,1,4,29,38458,1,,,
240000,1,4,26,-82,1,,,
50000,0,3,40,176238,1,,,
250000,1,3,26,3777,1,,,
50000,1,4,27,189318,1,,,
230000,1,3,24,270749,1,,,
50000,1,4,22,172810,1,,,
40000,0,3,45,160433,1,,,
110000,0,3,31,945,1,,,
130000,1,3,23,496497,1,,,
1.00E+05,1,3,42,467050,1,,,
1.00E+05,1,2,46,396736,1,,,
20000,0,3,46,54159,1,,,
110000,0,3,35,407577,1,,,
340000,1,2,46,43528,1,,,
380000,1,4,42,326,1,,,
2.00E+05,1,4,30,416750,1,,,
30000,1,3,22,133349,1,,,
10000,0,3,29,34874,1,,,
50000,0,2,47,137425,1,,,
2.00E+05,1,2,30,707541,1,,,
140000,0,4,55,0,1,,,
50000,0,4,26,122901,1,,,
50000,0,3,26,171131,1,,,
10000,1,3,23,49654,1,,,
90000,1,3,24,47903,1,,,
170000,0,4,42,0,1,,,
10000,1,4,27,31689,1,,,
2.00E+05,1,3,40,780335,1,,,
250000,1,3,35,173556,1,,,
10000,1,2,49,-358,1,,,
160000,0,4,32,448932,1,,,
160000,0,4,29,0,1,,,
80000,1,3,27,329784,1,,,
80000,1,3,56,319512,1,,,
50000,1,3,50,141022,1,,,
190000,1,4,28,812377,1,,,
160000,0,3,48,0,1,,,
130000,1,3,25,1569,1,,,
50000,1,2,47,144962,1,,,
2.00E+05,1,4,30,2014,1,,,
10000,1,2,22,22432,1,,,
50000,1,4,24,246533,1,,,
50000,1,4,43,181133,1,,,
210000,0,4,35,1350,1,,,
150000,0,4,38,863891,1,,,
140000,1,3,38,437107,1,,,
50000,0,3,26,146630,1,,,
30000,1,3,24,82140,1,,,
30000,1,4,24,7200,1,,,
50000,0,4,36,183829,1,,,
240000,0,4,36,0,1,,,
310000,1,3,35,1273561,1,,,
80000,1,3,32,8270,1,,,
360000,0,4,52,0,1,,,
20000,1,3,21,67081,1,,,
50000,0,2,44,211808,1,,,
180000,1,4,39,-44,1,,,
180000,1,3,31,400,1,,,
210000,0,3,66,390,1,,,
90000,0,3,41,427132,1,,,
1.00E+05,0,4,27,429,1,,,
3.00E+05,0,4,58,770949,1,,,
1.00E+05,1,2,29,-7500,1,,,
60000,1,4,23,200119,1,,,
210000,1,3,49,500846,1,,,
210000,1,4,26,198,1,,,
130000,1,3,53,561144,1,,,
3.00E+05,1,2,34,40996,1,,,
150000,1,3,36,695722,1,,,
80000,0,3,26,376328,1,,,
1.00E+05,0,4,42,532,1,,,
50000,1,3,22,76599,1,,,
220000,0,3,47,916380,1,,,
160000,1,3,29,-16,1,,,
230000,0,3,36,12207,1,,,
70000,1,3,24,84419,1,,,
60000,0,3,35,59427,1,,,
150000,0,3,52,680288,1,,,
180000,0,3,26,350572,1,,,
160000,0,4,27,4342,1,,,
120000,1,3,28,200,1,,,
220000,0,3,30,422215,1,,,
2.00E+05,1,3,30,497,1,,,
220000,0,3,30,27572,1,,,
40000,1,3,24,140492,1,,,
4.00E+05,0,4,32,368601,1,,,
2.00E+05,1,2,42,-9050,1,,,
30000,1,3,25,138285,1,,,
320000,1,4,45,0,1,,,
140000,0,4,57,543071,1,,,
60000,0,3,32,124657,1,,,
120000,0,4,24,1303,1,,,
20000,0,3,34,48726,1,,,
240000,0,4,47,0,1,,,
20000,0,2,46,47404,1,,,
20000,0,4,24,30876,1,,,
10000,0,3,56,17905,1,,,
280000,1,3,56,1225678,1,,,
20000,0,4,37,81105,1,,,
160000,1,4,35,1194,1,,,
230000,1,4,30,1099890,1,,,
20000,0,3,24,78351,1,,,
350000,0,3,47,1389431,1,,,
20000,1,4,24,78110,1,,,
50000,1,3,28,229269,1,,,
360000,1,4,43,0,1,,,
80000,1,2,26,3121,1,,,
180000,1,3,28,21747,1,,,
260000,1,4,31,124411,1,,,
50000,0,3,23,89105,1,,,
110000,1,3,29,66528,1,,,
20000,1,4,23,83716,1,,,
1.00E+05,1,3,41,444613,1,,,
60000,0,2,36,0,1,,,
50000,1,4,31,0,1,,,
60000,0,4,31,18178,1,,,
40000,1,2,23,171159,1,,,
20000,0,3,36,89854,1,,,
20000,0,2,27,53750,1,,,
90000,0,4,29,73080,1,,,
20000,0,3,27,72683,1,,,
50000,0,4,30,212014,1,,,
10000,0,3,23,18617,1,,,
2.00E+05,0,3,36,0,1,,,
60000,1,2,26,7185,1,,,
20000,1,3,21,18042,1,,,
380000,0,4,43,7835,1,,,
180000,0,3,48,919,1,,,
360000,0,4,40,-99503,1,,,
